scope	key	en_US	de_DE	fr_FR	es_ES	it_IT	zh_CN	pt_BR	fi_FI	da_DK	nl_NL	sl_SI
visualization-column-charts	Column Chart	Column Chart	Säulen	Graphique en colonnes	Column Chart	Istogramma	Column Chart	Gráfico de coluna	Column Chart	Column Chart	Kolomdiagram	Column Chart
visualization-column-charts	Base color	Base color	Grundfarbe	Couleur de base	Base color	Colore base	Base color	Cor de base	Base color	Base color	Basiskleur	Base color
visualization-column-charts	Automatically sort bars	Automatically sort bars	Säulen sortieren	Trier les barres automatiquement	Automatically sort bars	Barre ordinate automaticamente	Automatically sort bars	Classificar as barras automaticamente	Automatically sort bars	Automatically sort bars	Automatically sort bars	Automatically sort bars
visualization-column-charts	Reverse order	Reverse order	Reihenfolge umkehren	Inverser l'ordre	Reverse order	Ordine inverso	Reverse order	Ordem inversa	Reverse order	Reverse order	Reverse order	Reverse order
visualization-column-charts	Use different color for negative values	Use different color for negative values	Alternative Farbe für negative Werte verwenden	Utiliser une couleur différente pour les valeurs négatives	Use different color for negative values	Utilizza colori diversi per i valori negativi	Use different color for negative values	Usar cores diferentes para valores negativos	Use different color for negative values	Use different color for negative values	Use different color for negative values	Use different color for negative values
visualization-column-charts	Ignore missing values	Ignore missing values	Fehlende Werte ignorieren	Ignorer les valeurs manquantes	Ignore missing values	Ignorare i valori mancanti	Ignore missing values	Ignorar valores faltantes	Ignore missing values	Ignore missing values	Ignore missing values	Ignore missing values
visualization-column-charts	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels	Rotate labels
visualization-column-charts	Use the same scale for all columns	Use the same scale for all columns	Gleiche Achsen für alle Säulen	Utiliser la même échelle pour toutes les colonnes	Use the same scale for all columns	Utilizzare la stessa scala per tutte le colonne	Use the same scale for all columns	Usar a mesma escala para todas as colunas	Use the same scale for all columns	Use the same scale for all columns	Use the same scale for all columns	Use the same scale for all columns
visualization-column-charts	Grid lines	Grid lines	Hilfslinien	Afficher la grille	Grid lines	Linee della griglia	Grid lines	Grid de linhas	Grid lines	Grid lines	Grid lines	Grid lines
visualization-column-charts	Automatic	Automatic	Automatisch	Automatique	Automatic	Automatico	Automatic	Automático	Automatic	Automatic	Automatisch	Automatic
visualization-column-charts	Show	Show	Einblenden	Afficher	Show	Visualizza	Show	Mostrar	Show	Show	Tonen	Show
visualization-column-charts	Hide	Hide	Ausblenden	Masquer	Hide	Nascondi	Hide	Esconder	Hide	Hide	Verbergen	Hide
visualization-column-charts	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels	Value labels
visualization-column-charts	Grouped Column Chart	Grouped Column Chart	Säulen (gruppiert)	Graphique en barres groupées	Grouped Column Chart	Istogramma raggruppato	Grouped Column Chart	Gráfico de colunas agrupadas	Grouped Column Chart	Grouped Column Chart	Grouped Column Chart	Grouped Column Chart
visualization-column-charts	Stacked Column Chart	Stacked Column Chart	Säulen (gestapelt)	Graphique en barres empilées	Stacked Column Chart	Istogramma in pila	Stacked Column Chart	Gráfico de colunas empilhadas	Stacked Column Chart	Stacked Column Chart	Stacked Column Chart	Stacked Column Chart
visualization-column-charts	Stack percentages	Stack percentages	Prozente stapeln	Empiler les pourcentages	Stack percentages	Percentuali in pila	Stack percentages	Empilhar porcentagens	Stack percentages	Stack percentages	Stack percentages	Stack percentages
visualization-column-charts	Let user switch mode	Let user switch mode	Nutzer kann Modus wechseln	Laisser l'utilisateur changer de mode	Let user switch mode	Permetti all'utente di cambiare modalità	Let user switch mode	Deixa o modo de troca	Let user switch mode	Let user switch mode	Let user switch mode	Let user switch mode
visualization-column-charts	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines	Show grid lines
visualization-column-charts	stack percentages	stack percentages	Prozente stapeln	empiler les pourcentages	stack percentages	percentuali in pila	stack percentages	empilhar porcentagens	stack percentages	stack percentages	stack percentages	stack percentages
visualization-column-charts	Negative values, as contained in your dataset, cannot be stacked on top of each other in a stacked column chart. Please consider using a different chart type instead (eg. a grouped column chart).	Negative values, as contained in your dataset, cannot be stacked on top of each other in a stacked column chart. Please consider using a different chart type instead (eg. a grouped column chart).	Negative Werte lassen sich nicht übereinander stapeln. Bitte verwende stattdessen einen anderen Diagrammtyp (z.B. die Gruppierten Säulen).	Les valeurs négatives, telles qu'elles figurent dans votre jeu de données, ne peuvent pas être empilées dans un graphique en barres empilées. Envisagez d'utiliser un type de graphique différent (par exemple un graphique en barres groupées).	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."	I valori negativi, come come sono contenuti nel dataset, non possono essere impilati uno sopra l'altro in un istogramma di questo tipo. Ti consigliamo di valutare se è meglio usare un tipo di grafico diverso (es. un istogramma raggruppato).	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."	Os valores negativos, tal como consta do seu conjunto de dados, não podem ser empilhados em cima uns dos outros em um gráfico de colunas empilhadas. Por favor, considere o uso de um tipo de gráfico diferente, em vez (por exemplo, um gráfico de colunas agrupadas).	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."	"Negative values, as contained in your dataset, cannot be stacked on top of 
each other in a stacked column chart. Please consider using a different 
chart type instead (eg. a grouped column chart)."
visualization-column-charts	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by	Sort by
visualization-column-charts	first	first	first	first	first	first	first	first	first	first	first	first
visualization-column-charts	last	last	last	last	last	last	last	last	last	last	last	last
visualization-column-charts	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)	Layout (desktop)
visualization-column-charts	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling	Direct labeling
visualization-column-charts	no	no	no	no	no	no	no	no	no	no	no	no
visualization-column-charts	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
visualization-column-charts	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)	Inner margin (%)
visualization-column-charts	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)	Outer margin (%)
visualization-column-charts	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)	Layout (mobile)
visualization-column-charts	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop	same as destkop
